iid,gender,age,imprace,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy
378,1,29,3,2,6,5,2,9,5,10,5,4,4,2,1,8,7,3,3,8,5,8,5,2,6
397,1,24,3,2,2,5,2,9,8,8,6,7,7,6,2,6,7,5,7,8,4,7,5,1,6
398,1,29,7,2,2,3,1,4,1,2,10,7,7,9,9,8,7,7,7,9,6,5,6,2,8
399,1,29,1,1,2,4,2,9,2,9,9,9,9,7,3,5,9,1,6,7,8,10,3,8,7
400,1,26,7,7,5,4,2,7,4,7,7,6,6,6,1,8,7,1,7,7,6,7,1,1,3
401,1,31,1,1,2,4,1,10,1,4,8,8,8,8,2,5,5,1,8,8,10,10,7,3,9
402,1,29,1,1,3,4,2,10,2,6,9,6,6,9,7,4,3,3,5,8,4,4,6,9,6
403,1,22,6,6,5,5,3,9,8,3,7,4,3,5,3,3,5,6,5,8,3,6,2,1,6
404,1,23,1,4,2,5,2,10,5,8,10,8,8,9,7,9,8,4,5,8,7,8,6,3,7
405,1,30,1,1,4,5,5,6,1,6,9,8,9,2,6,8,8,6,10,9,7,9,9,5,6
406,1,27,1,1,1,6,2,4,6,8,9,6,7,8,6,6,7,7,8,9,7,10,2,1,6
407,1,24,1,1,3,4,2,8,4,7,9,9,9,7,4,2,9,5,7,10,9,9,7,7,5
408,1,24,1,1,2,7,1,7,7,9,8,9,8,3,5,1,6,2,4,8,6,10,2,1,6
409,1,23,5,5,2,6,3,10,4,1,4,7,8,10,2,8,7,2,6,8,10,10,5,2,7
410,1,27,8,8,1,5,1,10,8,5,8,1,1,8,10,1,8,2,2,4,4,5,1,1,5
411,1,34,8,2,3,4,1,7,6,6,7,7,6,3,3,1,8,1,7,6,7,10,8,3,3
412,1,27,1,1,1,5,2,10,10,10,5,8,8,0,7,3,8,6,5,5,8,8,4,4,4
413,1,26,5,3,1,4.835766423,2,6,7,5,7,5,3,5,5,4,6,8,6,9,6,6,7,0,8
414,1,29,2,10,6,1,1,10,5,9,5,0,0,5,5,0,8,7,0,0,0,1,2,0,5
415,1,31,3,1,1,4,2,1,1,6,6,7,5,1,1,3,10,1,6,6,3,7,1,1,4
422,1,26,6,7,2,4,2,7,2,8,9,9,9,10,2,4,7,5,9,8,6,6,7,9,8
423,1,30,1,1,2,4,1,9,2,9,8,7,7,7,6,5,9,5,5,8,7,5,5,4,6
424,1,24,4,4,2,6,3,7,7,7,7,5,5,6,7,5,5,7,5,8,5,7,8,5,6
425,1,28,3,7,2,4,2,7,8,8,8,7,6,5,2,7,5,5,6,7,5,7,2,2,6
426,1,24,4,7,2,2,1,7,2,7,8,6,4,3,2,6,5,3,7,6,6,6,4,2,7
427,1,28,1,1,1,7,3,10,1,10,8,7,7,9,1,3,8,1,4,5,7,10,1,10,6
428,1,27,8,8,3,2,1,6,5,5,9,6,7,6,5,6,7,5,6,7,5,7,7,3,8
429,1,27,1,1,2,2,2,7,8,8,9,8,8,8,6,7,9,8,8,8,8,8,7,6,7
440,1,21,8,2,1,7,2,10,10,10,10,7,7,7,3,1,3,5,5,10,8,10,8,5,7
441,1,24,4,2,2,7,1,6,1,6,7,7,8,7,14,9,9,8,9,10,10,10,7,2,7
442,1,25,1,1,4,6,1,7,1,7,5,1,1,7,1,8,6,1,1,5,3,5,2,1,6
443,1,27,1,3,2,6,2,9,5,7,8,5,5,5,3,7,6,1,6,7,8,8,4,5,7
444,1,26,5,1,2,4,2,8,8,9,2,6,8,6,2,5,2,7,1,10,3,5,5,6,3
445,1,30,1,1,2,5,2,9,6,8,8,5,3,9,5,9,10,5,4,10,8,9,5,1,5
446,1,28,2,2,1,4,3,9,2,9,8,8,7,6,3,6,6,5,6,6,5,8,3,3,7
447,1,26,1,1,1,7,2,7,5,6,8,3,2,6,2,5,6,3,4,8,4,9,2,4,3
448,1,22,1,1,1,2,1,3,2,4,9,8,9,3,5,9,7,3,6,7,6,10,6,5,3
449,1,23,7,1,1,3,1,8,2,6,8,7,5,5,3,1,9,7,6,9,2,6,4,1,5
450,1,25,3,7,2,6,2,7,3,9,9,9,9,9,9,3,5,7,9,10,9,10,5,10,3
451,1,30,3,1,2,3,3,3,3,2,4,4,3,3,4,3,6,7,5,7,7,8,6,6,3
452,1,29,7,1,1,5,3,9,6,8,7,8,7,8,7,9,8,7,8,9,8,10,5,3,7
453,1,27,4,3,2,6,5,6,3,5,6,6,5,6,5,3,6,6,4,7,6,5,4,1,6
460,1,33,2,1,1,4,2,9,7,10,10,10,10,8,1,7,9,10,6,9,10,10,1,5,8
461,1,27,2,2,1,7,4,9,8,9,9,7,7,9,8,6,2,2,7,6,6,6,4,4,7
462,1,33,1,5,4,6,6,8,7,5,2,6,6,1,2,7,3,8,5,7,6,9,2,2,8
463,1,23,3,2,2,7,1,5,4,7,5,4,3,3,5,4,5,4,4,4,4,7,3,1,5
464,1,33,1,1,1,3,1,10,9,6,7,3,3,5,5,9,3,4,6,7,7,7,2,1,5
465,1,23,1,3,6,7,3,4,8,1,3,8,8,4,1,4,9,2,1,3,10,10,1,1,4
481,1,23,8,1,2,3,2,3,3,7,9,8,7,1,2,5,8,2,7,10,10,10,6,1,6
482,1,30,2,6,2,6,1,9,7,5,9,6,5,8,2,5,9,6,7,7,2,4,4,3,4
483,1,28,1,1,6,3,1,10,1,10,10,10,10,5,1,1,10,5,10,10,10,10,10,5,5
484,1,31,1,1,1,6,4,7,3,5,9,9,9,9,3,7,9,1,9,9,9,9,2,7,6
485,1,29,4,3,2,6,2,6,10,9,7,7,7,4,6,6,9,8,8,8,7,8,7,4,6
486,1,32,1,1,3,6,2,7,1,3,10,8,6,4,1,9,8,1,7,10,5,8,2,2,8
487,1,24,1,1,1,5,3,4,4,2,8,5,3,2,5,2,7,8,5,9,6,10,6,2,5
488,1,29,1,1,3,2,3,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,5
489,1,28,6,5,3,2,1,7,7,7,9,9,9,6,9,9,6,6,9,9,9,7,6,5,6
490,1,29,6,1,2,6,3,3,1,2,7,7,7,6,2,5,9,9,8,10,9,8,7,4,3
491,1,29,3,3,2,4,1,9,2,9,9,9,8,9,7,9,8,2,7,8,8,9,9,6,5
492,1,30,1,1,2,4,2,10,10,10,10,10,10,10,2,4,10,7,5,5,2,5,10,10,7
493,1,20,1,1,5,6,5,10,10,7,7,4,4,3,3,6,7,10,8,8,7,7,10,6,10
494,1,30,2,8,4,3,3,8,10,4,10,10,10,1,1,4,8,6,9,10,7,8,9,10,6
495,1,32,5,6,2,2,1,7,5,6,7,5,6,7,7,6,5,6,7,7,6,5,5,6,6
502,1,26,1,1,1,3,2,8,8,9,6,5,5,10,9,8,7,8,6,9,5,8,3,4,3
503,1,25,1,5,5,6,5,2,4,4,8,8,8,7,5,2,6,5,7,8,9,9,7,7,5
504,1,23,1,1,2,5,2,1,1,2,4,4,4,8,1,3,6,1,5,6,7,7,3,1,7
505,1,27,1,1,3,4,1,10,6,10,5,10,10,9,7,1,10,10,10,10,10,10,10,10,6
506,1,24,5,5,1,7,2,6,4,6,7,7,7,8,2,4,9,2,5,5,5,5,2,1,4
507,1,24,1,1,5,7,3,10,9,10,9,9,8,7,4,5,8,5,7,6,6,8,3,2,5
508,1,36,1,5,3,5,1,10,4,7,6,4,4,4,9,7,10,3,5,4,7,10,4,8,7
531,1,25,5,1,2,7,2,10,10,6,6,10,10,10,6,6,6,10,10,10,8,10,1,6,7
532,1,26,8,3,1,2,2,7,8,6,8,6,4,4,8,6,9,7,6,8,6,7,5,2,6
533,1,26,1,1,2,6,2,7,3,5,7,5,5,7,2,5,3,1,5,7,6,7,2,2,5
534,1,24,1,1,3,5,6,7,9,3,9,9,8,6,7,7,7,3,6,7,8,7,4,1,9
535,1,23,5,6,1,5,3,4,3,4,7,7,6,2,8,8,8,6,6,9,8,9,5,6,6
536,1,29,1,1,1,5,2,7,3,5,8,7,7,3,2,7,8,6,4,9,7,9,7,1,8
537,1,22,7,1,1,5,1,6,6,7,10,8,8,3,3,6,10,8,10,10,10,10,10,1,7
538,1,32,1,1,1,4,2,8,2,8,8,8,8,8,8,6,8,5,4,6,3,6,6,6,6
539,1,22,6,6,1,4,1,8,9,8,9,9,9,4,6,8,8,6,7,9,7,7,7,6,7
540,1,24,5,1,1,7,4,6,4,4,5,7,8,8,9,6,7,4,9,9,9,9,6,3,7
541,1,23,2,2,3,7,3,10,10,7,8,3,5,4,3,8,3,10,5,10,10,9,9,3,7
542,1,23,7,1,2,5,3,4,7,6,10,9,8,1,8,8,9,8,8,9,9,8,9,6,8
543,1,24,9,6,1,7,2,8,8,5,8,8,5,5,9,8,8,8,6,8,8,8,8,3,8
544,1,23,3,8,1,7,3,3,4,3,10,7,8,5,14,9,2,10,7,8,8,9,10,3,5
545,1,24,7,1,1,7,2,10,2,2,5,5,4,7,5,4,7,4,3,4,5,5,2,1,6
546,1,30,3,4,2,4,1,10,5,8,10,4,3,5,1,1,2,4,3,6,3,9,10,6,8
547,1,30,1,1,2,3,1,9,6,9,7,8,8,2,2,8,9,4,9,8,9,9,6,5,6
548,1,30,8,8,1,6,1,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,7
549,1,28,2,3,1,7,1,8,5,6,9,7,7,4,8,8,7,7,8,8,10,10,8,2,5
550,1,30,5,6,2,4,1,5,3,5,9,7,8,3,3,8,8,3,7,7,4,6,6,3,7
551,1,27,2,1,1,6,3,6,1,7,6,7,3,2,1,7,10,2,5,6,7,7,7,1,3
552,1,25,1,1,1,2,1,8,2,5,10,10,10,7,1,9,8,3,7,9,10,10,7,3,10
1,0,21,2,4,2,7,1,9,2,8,9,1,1,5,1,5,6,9,1,10,10,9,8,1,3
2,0,24,2,5,1,5,1,3,2,7,10,8,6,3,5,8,10,1,9,8,7,8,3,1,4
3,0,25,8,4,6,3,1,3,8,7,8,5,5,8,4,5,7,8,7,7,7,5,8,7,4
4,0,23,1,1,1,5,1,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,1
5,0,21,8,1,2,4,1,7,4,7,7,6,8,6,6,8,6,8,6,6,3,7,8,3,7
6,0,23,1,1,1,3,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,4
7,0,22,2,4,1,5,1,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,7
8,0,25,1,1,1,5,1,2,2,1,10,9,9,3,2,10,8,10,9,9,6,6,8,6,6
9,0,26,1,1,1,4,1,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,6
10,0,26,4,4,2,6,1,9,9,9,7,6,6,7,1,7,8,5,6,7,7,8,7,7,7
21,0,21,8,10,6,7,4,10,8,10,5,5,5,2,1,3,7,10,4,7,4,8,5,2,5
22,0,27,1,2,1,6,2,1,2,2,8,8,8,1,2,6,8,8,8,9,7,7,8,8,4
23,0,21,9,6,1,1,1,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,5
24,0,27,2,3,2,6,4,10,1,10,9,6,6,10,6,3,6,1,6,9,8,8,6,7,5
25,0,25,10,2,1,5,2,7,4,7,7,6,3,5,6,8,9,9,7,10,6,8,8,4,5
26,0,23,2,4,1,5,2,9,4,9,7,7,4,6,5,7,5,3,9,9,6,4,5,1,7
27,0,22,1,5,1,6,2,7,6,8,8,7,6,8,7,8,8,5,5,5,5,7,7,8,5
28,0,26,4.115241636,4.144981413,2.096654275,5.133828996,2.130111524,5.721189591,4.115241636,6.375464684,8.148698885,7.449814126,7.223048327,5.940520446,3.234200743,5.914498141,7.907063197,5.732342007,7.50929368,8.148698885,7.152416357,8.044609665,6.486988848,5.078066914,5.179104478
29,0,22,4,5,1,6,1,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,7
30,0,23,2,4,1,7,2,5,6,8,7,4,4,2,1,7,8,5,7,7,7,9,6,4,3
31,0,24,4,8,1,4,3,3,3,7,10,7,7,7,2,6,6,8,8,8,6,7,10,6,5
32,0,27,1,1,1,4,2,4,1,5,9,5,5,1,2,4,9,6,6,7,5,8,10,9,3
33,0,30,4,8,6,6,1,4,6,10,7,8,6,6,8,6,10,10,8,8,6,6,7,9,4
34,0,21,2,2,1,6,2,7,6,6,7,4,4,5,4,7,7,6,9,10,7,7,7,7,6
35,0,25,9,7,1,6,3,9,7,9,8,8,8,5,6,9,7,9,8,8,7,7,8,3,7
36,0,26,7,8,2,5,2,6,1,4,6,7,7,7,1,3,9,1,9,6,6,7,5,1,6
37,0,27,5,8,2,6,2,6,4,6,10,9,8,7,6,7,5,6,10,7,8,7,4,9,7
38,0,23,8,1,1,4,3,7,2,7,10,2,2,7,4,7,2,8,8,10,10,10,10,2,2
39,0,24,6,4,5,6,4,3,2,4,10,10,8,7,1,5,10,9,9,10,9,9,10,1,2
56,0,23,10,9,1,3,1,2,1,10,10,5,5,2,1,7,6,8,8,7,6,9,10,4,3
57,0,22,10,10,3,5,2,4,4,5,9,9,9,9,1,5,9,9,9,9,9,9,9,9,9
58,0,26.12639405,4.115241636,4.144981413,2.096654275,5.133828996,2.130111524,5.721189591,4.115241636,6.375464684,8.148698885,7.449814126,7.223048327,5.940520446,3.234200743,5.914498141,7.907063197,5.732342007,7.50929368,8.148698885,7.152416357,8.044609665,6.486988848,5.078066914,5.179104478
59,0,26.12639405,4.115241636,4.144981413,2.096654275,5.133828996,2.130111524,5.721189591,4.115241636,6.375464684,8.148698885,7.449814126,7.223048327,5.940520446,3.234200743,5.914498141,7.907063197,5.732342007,7.50929368,8.148698885,7.152416357,8.044609665,6.486988848,5.078066914,5.179104478
60,0,29,3,10,4,6,2,3,1,9,9,5,5,3,1,5,5,2,10,7,6,9,5,5,4
61,0,28,1,5,1,5,2,1,1,5,10,10,10,5,1,5,10,6,10,10,8,10,8,7,5
62,0,26,1,1,2,7,2,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,5
63,0,24,1,3,3,6,1,5,3,8,6,9,8,5,1,2,10,1,8,9,4,5,6,2,6
64,0,27,6,3,2,6,5,8,8,8,8,8,8,9,5,3,8,7,8,8,9,9,8,5,3
65,0,23,6,3,2,5,3,7,5,7,8,8,8,8,8,9,8,8,8,9,8,8,9,6,7
76,0,34,5,7,2,7,2,1,7,6,8,8,8,5,1,7,7,4,8,8,8,7,7,7,6
77,0,22,2,2,1,4,2,7,1,10,9,9,9,8,3,6,6,6,8,8,10,10,7,9,6
78,0,23,1,4,2,7,3,5,1,7,7,9,5,9,1,3,9,3,9,9,9,7,5,10,7
79,0,26,8,8,2,7,1,2,3,2,10,10,10,2,1,7,4,4,9,9,8,8,3,3,5
80,0,27,3,1,1,5,4,8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2,7
81,0,28,6,9,5,5,2,6,2,7,9,9,7,7,1,7,7,7,9,9,7,7,7,4,5
82,0,25,2,7,1,3,2,5,5,5,8,9,10,9,1,7,8,6,8,8,8,9,6,7,7
83,0,35,1,5,2,6,1,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7,6
84,0,32,1,1,2,4,1,7,1,9,9,9,9,3,1,9,9,1,9,10,9,9,5,5,7
85,0,30,3,5,2,6,4,2,3,4,9,8,6,8,4,7,8,4,6,7,5,8,5,3,4
86,0,22,1,1,2,7,1,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2,6
87,0,23,8,10,1,3,2,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9,4
88,0,23,8,7,1,4,4,8,7,10,7,7,7,8,6,6,10,8,9,10,8,10,9,3,5
89,0,27,3,2,1,7,3,2,2,2,10,8,8,7,8,9,8,1,9,8,8,9,4,2,5
90,0,23,4,1,2,7,7,8,9,6,5,8,9,6,3,1,10,6,7,8,7,6,4,1,5
91,0,25,6,8,1,3,2,4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2,5
92,0,29,1,2,5,6,1,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,5
93,0,29,2,2,1,5,1,3,2,6,10,7,6,8,7,8,7,5,8,8,6,5,7,6,6
112,0,20,1,1,1,3,1,8,3,8,5,7,8,8,8,9,9,3,8,8,9,10,4,6,4
113,0,21,3,8,1,4,1,5,3,7,10,9,8,7,2,6,8,7,10,10,9,10,10,7,7
114,0,20,2,4,2,7,4,6,8,3,4,4,3,5,2,6,8,7,6,7,6,9,2,2,6
115,0,21,10,7,1,5,1,2,2,8,7,3,3,1,1,8,10,2,2,6,4,7,8,1,3
116,0,21,4,1,1,1,1,5,4,3,10,10,10,6,4,8,10,10,10,10,10,10,10,8,7
117,0,21,8,10,1,3,1,6,8,6,9,8,6,3,5,8,8,5,6,5,6,5,9,3,6
119,0,19,5,2,1,3,1,8,5,8,9,9,9,5,8,10,9,5,10,9,10,10,7,8,4
120,0,20,1,4,5,4,3,5,4,4,8,7,5,3,1,5,10,6,10,9,6,8,3,5,3
121,0,21,8,1,5,7,1,2,2,6,10,6,10,6,4,7,7,8,10,10,10,10,10,4,2
132,0,27,10,1,1,7,2,7,2,10,5,7,7,9,1,1,5,9,5,10,3,10,1,10,5
133,0,24,8,6,1,6,5,8,7,6,7,10,8,10,4,3,6,4,8,7,10,9,7,6,5
134,0,23,8,10,1,5,3,7,4,4,8,9,6,7,8,6,8,5,9,5,7,8,8,8,8
135,0,26,9,6,1,7,2,3,1,1,1,9,9,10,1,7,7,1,8,7,10,10,2,9,6
136,0,26.12639405,4.115241636,4.144981413,2.096654275,5.133828996,2.130111524,5.721189591,4.115241636,6.375464684,8.148698885,7.449814126,7.223048327,5.940520446,3.234200743,5.914498141,7.907063197,5.732342007,7.50929368,8.148698885,7.152416357,8.044609665,6.486988848,5.078066914,5.179104478
142,0,24,1,4,1,5,2,5,6,6,6,5,5,6,14,7,6,6,6,6,6,8,6,6,7
143,0,33,6,2,2,7,4,4,5,6,8,9,9,6,4,8,9,5,7,7,7,7,6,4,6
144,0,23,5,2,1,5,2,10,7,9,6,6,6,4,3,7,7,5,4,7,9,8,7,4,5
145,0,24,9,7,2,7,1,2,1,2,9,9,5,2,2,1,8,10,10,10,5,8,9,2,5
146,0,36,1,7,4,7,1,5,2,5,5,8,8,3,1,3,10,8,8,8,5,8,8,3,5
147,0,26,3,3,5,5,1,8,7,8,9,9,9,5,2,8,10,8,9,8,6,6,7,10,5
148,0,27,7,4,5,4,1,7,4,6,9,9,9,5,2,1,10,10,9,9,5,7,9,7,5
149,0,28,3,3,1,5,2,8,4,5,8,8,8,8,3,6,6,6,5,8,7,10,9,8,4
150,0,31,3,3,4,5,2,5,1,3,5,3,3,9,1,5,7,1,1,7,5,4,2,10,5
151,0,28,1,2,3,3,1,5,1,8,10,9,8,8,4,1,8,1,9,8,9,10,7,7,3
152,0,27,2,3,1,4,3,4,1,4,8,9,8,5,5,7,10,5,9,10,9,9,7,1,5
153,0,28,1,1,2,6,3,8,5,7,7,7,6,6,5,7,10,6,7,9,7,7,8,5,6
154,0,27,8,3,6,4,1,10,7,8,8,6,6,6,1,6,8,7,7,8,6,6,3,2,7
155,0,27,5,1,2,5,1,2,1,10,10,7,8,5,1,1,10,4,10,9,5,7,7,4,3
