iid,gender,age,imprace,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy
156,0,30,1,1,2,6,3,3,7,10,10,10,10,8,7,9,10,10,10,10,10,10,7,8,6
157,0,28,5,3,1,6,1,8,7,8,8,6,6,9,2,9,7,4,6,7,5,6,6,3,4
174,0,29,1,1,4,5,3,5,4,6,6,8,8,4,4,6,8,4,6,5,9,9,6,5,5
175,0,23,5,8,2,3,1,8,2,6,8,7,7,3,3,6,6,5,6,5,6,9,5,3,7
176,0,28,10,1,2,6,3,7,6,5,10,10,9,7,4,4,5,5,8,8,8,8,6,3,7
177,0,22,8,3,2,5,2,5,9,6,8,6,4,2,3,7,9,7,6,7,3,4,5,1,6
178,0,35,5,5,2,4,2,3,4,7,9,8,8,8,2,9,8,8,8,8,8,9,6,8,5
179,0,30,5,1,1,6,3,5,5,10,10,7,7,5,1,7,10,1,8,8,7,9,10,9,2
180,0,24,2,2,6,4,2,7,7,5,9,5,5,8,5,9,6,7,9,9,7,8,9,7,6
181,0,22,7,8,1,5,5,3,6,5,9,9,9,6,3,9,9,9,9,9,9,9,9,6,4
182,0,22,7,5,1,4,3,5,6,2,8,3,2,1,4,1,7,8,2,6,4,10,8,1,6
183,0,24,1,1,1,7,3,9,6,8,9,8,8,9,9,9,7,8,8,9,9,10,8,1,5
194,0,24,9,9,3,3,2,8,6,6,9,6,6,4,8,7,9,9,6,9,5,7,9,4,7
195,0,27,3,9,1,2,1,7,6,9,8,5,5,9,9,8,10,1,3,4,3,6,5,1,8
196,0,25,1,6,1,1,1,3,3,6,7,7,7,8,6,8,6,8,9,9,9,9,7,9,6
197,0,24,2,1,1,4,3,6,1,4,10,8,8,4,7,5,9,6,5,10,8,10,7,3,3
198,0,23,8,5,2,2,3,6,8,6,9,8,8,9,5,7,4,9,9,9,9,9,10,4,6
199,0,30,2,1,4,5,3,8,3,10,10,10,10,1,1,7,10,4,7,8,3,5,7,1,4
200,0,25,1,1,1,7,2,10,3,9,8,7,7,10,3,6,8,1,8,8,9,10,3,4,5
201,0,25,8,8,1,4,2,8,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,6,2
202,0,22,8,5,2,6,2,8,8,9,7,6,4,4,1,6,8,7,7,9,6,7,7,1,3
203,0,22,4,10,6,6,2,3,1,8,6,4,2,2,1,6,7,10,6,8,3,7,9,2,3
204,0,26,8,6,3,5,1,10,5,9,9,10,10,3,1,9,8,4,5,5,3,8,10,7,4
205,0,23,5,5,1,7,1,8,2,6,8,6,6,7,2,6,9,3,3,8,5,6,3,5,5
206,0,31,2,2,1,5,1,5,5,5,9,7,7,7,7,9,9,5,7,7,7,9,5,7,6
207,0,23,9,5,1,3,1,10,8,8,7,5,5,2,3,4,3,7,7,6,5,7,9,6,6
208,0,25,2,1,2,4,3,9,7,7,9,10,10,10,5,8,8,5,7,9,10,10,9,8,5
209,0,28,7,3,3,6,2,3,2,6,8,5,5,6,8,8,3,6,7,8,7,10,3,3,7
210,0,29,10,4,2,6,3,9,3,9,8,9,9,9,1,2,9,5,7,7,7,7,5,1,5
211,0,28,9,1,2,4,1,9,8,9,10,9,9,5,8,1,9,9,10,10,9,7,10,7,5
212,0,27,3,6,1,5,2,8,5,8,8,8,8,8,6,9,8,8,8,8,6,7,8,3,5
213,0,25,9,10,2,4,2,8,7,9,8,8,7,6,7,7,8,7,10,10,8,9,8,5,7
234,0,22,1,5,3,7,3,5,3,10,10,9,5,2,1,4,9,5,6,5,5,9,7,4,5
235,0,23,3,1,1,4,3,1,3,3,10,9,10,2,1,7,7,1,9,9,6,10,10,7,5
236,0,24,3,3,2,7,1,9,6,3,7,9,9,7,1,8,7,5,4,7,4,10,4,2,7
237,0,34,10,1,3,7,4,1,1,10,7,8,9,9,1,1,10,6,8,6,2,9,2,10,4
238,0,27,3,5,1,2,1,8,5,8,8,10,10,8,2,8,7,5,9,9,10,10,7,6,5
239,0,34,6,6,2,6,3,3,3,5,8,8,7,8,1,6,9,6,8,8,6,7,1,8,7
240,0,26,1,1,1,6,3,10,10,9,10,10,8,9,14,9,10,10,10,10,10,10,10,3,2
241,0,29,1,1,2,4,2,8,1,5,7,7,7,4,1,3,4,1,3,4,6,7,6,3,2
242,0,26,3,3,3,7,3,6,5,5,8,10,10,9,4,9,10,1,9,10,10,10,1,8,6
252,0,28,1,1,1,6,2,4,3,3,8,7,6,7,4,9,9,2,9,9,9,9,9,2,10
253,0,33,1,1,2,6,6,5,3,5,8,10,10,6,1,6,10,7,7,10,7,7,7,3,7
254,0,22,8,3,2,6,2,8,2,6,10,9,9,8,1,7,9,8,9,9,7,7,7,8,6
255,0,26,3,1,1,7,3,6,8,9,6,6,6,4,2,5,6,4,7,7,8,8,9,1,6
256,0,24,6,5,2,6,4,5,3,6,7,6,5,6,5,5,5,8,6,8,8,8,9,3,6
257,0,24,5,6,2,5,1,7,1,6,9,10,10,10,3,4,10,2,5,10,10,10,4,10,3
258,0,25,1,10,1,6,1,9,6,7,7,8,3,10,4,1,10,3,8,5,2,6,6,2,6
259,0,25,2,2,2,7,1,8,3,7,8,7,7,4,2,7,8,6,7,7,5,7,5,6,5
260,0,27,4,4,2,7,3,9,6,7,9,5,5,6,2,3,9,6,7,7,9,9,5,3,6
261,0,26,1,4,1,7,2,6,4,3,9,9,8,3,5,8,9,2,9,9,9,9,4,6,3
262,0,29,1,10,6,6,3,9,9,8,7,7,3,7,1,3,10,4,1,7,5,8,1,1,1
263,0,26,9,10,1,6,2,1,1,1,5,7,7,7,1,3,9,4,7,7,7,8,9,6,1
264,0,26,1,3,1,6,2,7,1,7,5,7,8,6,1,5,9,7,4,8,2,6,2,1,3
265,0,32,3,3,4,5,2,2,9,8,8,7,8,2,1,2,10,6,7,10,8,9,2,1,3
266,0,28,2,2,2,7,3,5,4,5,4,7,8,8,1,6,5,1,4,10,6,7,2,6,4
267,0,26,2,2,1,3,3,4,8,5,9,7,6,4,7,8,3,9,5,9,4,9,10,2,4
268,0,24,1,1,5,6,1,8,6,6,5,4,3,6,5,5,8,4,5,5,4,4,4,4,5
269,0,24,4,5,2,6,2,4,1,8,8,8,10,7,3,1,10,3,6,6,6,9,4,2,6
270,0,23,2,4,2,5,1,8,4,6,9,8,7,8,4,6,9,2,7,5,6,7,6,4,5
271,0,23,10,9,2,4,1,8,7,10,9,10,10,5,5,6,7,7,9,9,9,8,9,5,8
272,0,25,10,10,2,4,1,6,7,10,10,9,8,7,6,8,9,9,9,9,9,10,9,8,8
294,0,30,1,1,1,6,2,7,8,4,9,10,10,1,1,7,10,3,10,9,7,8,8,5,6
295,0,30,5,7,2,6,1,7,8,8,5,7,5,3,1,2,10,7,10,10,8,8,5,8,6
296,0,28,10,10,1,4,2,4,5,2,8,8,7,6,5,9,9,9,8,7,8,10,9,7,3
297,0,21,9,8,2,2,1,5,2,8,8,10,10,3,3,5,10,8,10,10,8,8,8,6,7
298,0,22,7,1,2,6,2,3,1,3,5,10,10,3,1,4,10,5,10,10,10,10,9,7,1
299,0,24,1,1,2,6,2,7,1,7,8,9,8,9,4,9,9,6,7,9,7,9,5,4,5
300,0,35,1,1,2,6,2,8,2,8,9,10,10,7,2,5,8,2,10,8,8,10,4,2,9
301,0,34,3,8,2,4,1,5,3,9,10,7,8,5,1,5,9,5,9,10,9,9,5,9,2
302,0,21,8,7,2,3,1,10,10,9,7,5,6,6,6,8,5,7,7,7,9,9,6,6,8
303,0,33,2,1,4,5,1,7,1,9,9,9,7,7,1,1,10,2,9,9,8,9,5,1,6
304,0,28,1,10,1,7,2,10,1,8,7,7,8,2,1,4,8,1,8,9,7,7,8,9,6
305,0,29,6,9,1,4,1,8,2,7,10,7,7,8,2,7,8,7,8,9,7,7,9,8,4
306,0,22,6,2,1,6,3,6,6,9,8,5,5,7,4,5,6,9,9,9,5,5,9,5,7
307,0,27,1,3,5,7,2,10,8,10,9,8,9,10,1,5,10,7,10,10,8,10,9,3,3
322,0,34,2,1,2,2,2,8,7,7,6,6,6,9,3,6,7,2,8,8,8,8,3,1,9
323,0,25,1,1,2,4,3,5,7,7,7,8,7,7,6,6,7,8,9,9,8,8,8,6,8
324,0,23,8,3,1,4,2,8,8,6,10,8,8,9,6,9,7,8,10,8,10,10,7,7,5
325,0,30,2,4,2,6,2,5,7,9,9,9,9,7,7,7,9,7,9,9,9,9,4,6,6
326,0,36,5,5,2,6,4,2,2,3,8,8,8,2,2,6,9,6,10,8,10,10,10,8,8
327,0,29,2,7,2,6,3,1,1,5,10,8,7,7,1,6,10,1,9,8,9,9,1,5,5
328,0,30,1,1,2,3,1,8,3,10,10,10,10,10,1,5,10,7,10,10,10,10,5,10,6
329,0,29,1,1,6,6,2,3,2,7,7,10,10,3,1,4,10,2,10,7,6,8,2,1,4
330,0,22,3,3,1,7,3,8,7,7,8,5,5,2,2,9,5,7,2,8,4,9,5,2,7
331,0,34,1,1,1,6,3,4,7,4,6,7,7,10,2,1,9,3,7,7,9,9,4,10,4
341,0,23,3,10,1,6,1,1,2,1,10,9,9,8,1,6,10,10,10,10,10,10,9,10,5
342,0,33,2,1,1,6,3,3,4,4,10,9,10,1,1,8,7,10,8,10,1,4,10,4,2
343,0,32,5,6,3,2,1,6,3,3,10,10,10,8,2,3,5,4,8,9,9,9,9,7,5
344,0,26,1,3,3,4,3,9,7,5,6,7,6,4,3,9,4,4,9,9,9,9,9,5,5
345,0,24,7,6,2,7,4,5,1,10,6,5,5,3,4,8,9,6,7,7,8,9,6,9,6
346,0,26.12639405,4.115241636,4.144981413,2.096654275,5.133828996,2.130111524,5.721189591,4.115241636,6.375464684,8.148698885,7.449814126,7.223048327,5.940520446,3.234200743,5.914498141,7.907063197,5.732342007,7.50929368,8.148698885,7.152416357,8.044609665,6.486988848,5.078066914,5.179104478
347,0,26,1,1,5,6,1,1,1,2,10,3,3,1,1,8,2,5,3,8,1,7,10,1,5
348,0,21,3,3,2,6,1,3,5,1,10,10,10,2,1,9,10,7,10,7,7,7,10,5,5
349,0,33,1,7,1,4,2,2,3,10,8,7,8,7,1,6,7,4,8,8,8,9,6,7,6
350,0,31,9,5,2,7,3,9,2,10,9,8,8,8,7,7,9,9,9,9,9,9,5,7,6
351,0,35,1,3,2,5,4,5,2,5,10,10,10,7,2,3,10,3,10,10,10,10,5,5,8
352,0,29,6,6,2,4,3,8,5,10,10,10,10,8,4,5,5,8,9,9,10,10,7,7,9
353,0,25,7,7,1,2,1,3,4,5,8,9,9,8,8,5,6,4,9,9,8,9,8,5,5
354,0,22,9,8,1,6,1,10,10,10,10,8,8,1,1,1,8,10,10,10,10,10,10,6,7
355,0,24,10,2,1,4,3,9,1,7,8,7,7,7,1,9,9,2,9,9,9,9,9,2,7
356,0,27,2,4,1,7,2,10,9,8,10,8,5,7,1,5,8,9,8,9,7,10,5,6,4
357,0,27,10,10,1,4,2,2,6,10,10,10,10,8,1,7,10,6,10,8,7,7,8,1,1
358,0,26,1,1,1,5,3,6,2,7,10,4,5,2,4,9,9,6,5,8,4,5,7,3,5
359,0,26,1,5,2,6,3,2,1,1,7,2,2,6,8,1,10,3,7,8,8,8,1,4,2
360,0,24,8,4,2,6,2,9,7,6,9,7,8,9,9,1,7,6,7,7,10,10,7,8,7
379,0,38,4,6,2,7,2,4,4,6,7,8,8,7,2,2,6,7,7,9,6,6,3,5,5
380,0,33,4,8,2,7,4,7,8,8,8,5,5,3,1,5,5,7,7,10,9,9,9,9,6
381,0,24,6,3,5,4,1,5,5,5,7,8,8,6,5,6,9,6,4,8,7,8,8,7,2
382,0,28,8,1,2,7,3,6,5,10,10,9,9,6,8,3,8,10,8,10,9,9,9,1,6
383,0,27,10,5,3,6,2,9,7,9,9,8,8,5,1,5,6,9,4,9,8,7,7,4,4
384,0,23,9,6,2,5,3,8,5,7,9,10,10,3,3,7,6,7,10,10,5,6,6,3,8
385,0,25,5,8,2,5,3,7,5,8,10,10,10,10,6,8,9,6,10,10,8,10,9,8,7
386,0,26,4,2,2,7,2,1,3,5,8,7,7,2,5,7,8,8,9,9,8,8,8,3,4
387,0,25,5,2,2,7,2,5,5,8,8,6,6,4,3,8,7,7,8,8,7,7,8,2,6
388,0,24,1,6,2,4,2,7,4,8,7,3,3,5,3,4,7,6,6,7,6,6,6,4,4
389,0,21,1,1,2,3,1,7,8,5,8,7,7,10,2,1,10,7,8,8,10,10,7,8,7
390,0,30,1,10,6,4,3,6,1,6,10,6,6,8,1,4,10,6,8,8,8,8,4,6,6
391,0,28,1,5,1,4,1,8,1,6,8,6,7,9,1,9,9,1,3,5,5,5,4,2,4
392,0,26,6,1,5,4,3,4,3,3,9,10,9,9,1,3,10,6,8,10,5,10,7,7,3
393,0,22,4,8,1,7,1,3,2,3,5,9,9,4,3,4,9,6,7,8,7,7,5,4,6
394,0,24,1,6,2,4,2,3,1,4,9,8,8,10,1,1,10,6,9,9,8,7,7,2,6
395,0,33,1,2,3,4,2,3,4,4,10,8,8,6,1,8,9,3,10,10,7,9,7,8,4
396,0,25,1,5,2,7,2,3,8,7,10,10,10,7,7,7,10,9,10,10,10,10,7,7,4
416,0,25,3,3,6,4,1,4,1,8,8,7,6,6,1,8,7,8,5,7,5,10,4,3,3
417,0,29,1,1,1,5,3,6,1,4,5,8,8,8,3,5,7,2,6,7,7,6,3,8,5
418,0,25,7,3,6,7,2,2,2,5,9,7,8,6,5,6,10,8,8,10,7,9,7,7,5
419,0,28,0,1,4,2,1,6,2,5,8,5,6,5,2,9,9,8,9,9,6,6,4,7,5
420,0,22,1,1,5,4,2,8,4,5,10,8,8,7,4,3,9,7,8,7,4,5,6,4,5
421,0,25,5,5,1,4,3,1,1,1,8,5,5,1,5,5,5,8,10,10,5,10,10,5,7
430,0,22,3,10,1,6,2,10,10,10,6,3,2,4,2,4,4,8,9,9,8,8,5,4,5
431,0,27,5,8,2,7,3,10,9,7,10,10,10,10,5,4,10,7,7,5,8,10,10,3,7
432,0,28,1,1,4,6,3,2,2,2,10,10,10,7,1,6,6,4,9,8,8,7,5,5,4
433,0,30,3,3,2,6,3,3,3,8,8,8,8,8,1,6,7,5,7,8,5,5,5,3,5
434,0,27,2,2,1,4,2,4,2,9,6,3,3,3,2,7,2,6,2,2,4,7,8,4,3
435,0,22,1,1,1,7,2,5,5,6,9,8,8,3,2,9,9,1,8,7,9,9,10,10,5
436,0,23,9,1,1,6,1,8,5,9,10,8,7,8,5,1,9,10,8,10,6,10,10,4,5
437,0,23,2,6,1,4,1,6,7,7,8,9,9,8,5,6,9,7,10,10,10,10,5,6,5
438,0,23,1,5,1,4,1,3,1,8,9,5,5,8,4,7,6,5,7,9,10,9,8,3,4
439,0,29,1,5,2,3,2,8,4,8,9,8,9,6,1,7,9,6,4,9,9,9,6,6,7
454,0,27,3,3,2,7,3,5,8,5,9,9,9,7,1,4,9,4,9,9,8,8,4,9,5
455,0,24,5,5,1,6,2,3,5,3,10,10,7,7,1,8,10,4,8,9,8,9,9,7,4
456,0,29,3,2,2,6,1,1,1,8,8,7,7,6,2,8,8,4,7,7,6,6,8,8,2
457,0,55,1,1,6,7,3,1,2,1,8,9,9,10,1,1,10,4,7,3,10,8,1,1,10
458,0,29,9,8,1,4,1,9,1,6,10,8,6,9,3,6,9,7,8,8,4,1,10,9,5
459,0,26,6,1,1,5,3,1,3,1,9,8,9,1,1,6,4,6,8,8,8,8,8,1,5
466,0,24,1,1,6,7,1,4,2,9,8,5,6,4,3,2,8,5,5,7,6,8,4,2,5
467,0,24,7,4,6,2,1,8,4,9,9,9,9,8,5,8,9,8,9,9,9,9,9,9,7
468,0,25,5,2,1,6,3,8,3,7,7,7,8,8,2,6,8,7,5,9,9,9,7,6,4
469,0,25,1,1,2,3,1,10,7,7,7,7,7,3,3,4,7,9,7,7,7,8,6,9,4
470,0,29,1,1,1,4,2,1,1,1,10,10,10,2,1,3,10,5,10,10,6,6,10,1,4
471,0,30,8,8,2,5,3,3,4,6,10,7,7,5,2,9,7,8,6,8,6,6,10,4,5
472,0,25,1,3,2,4,2,10,6,7,9,9,8,9,1,7,8,1,10,10,10,10,5,9,4
473,0,34,1,1,2,6,4,7,5,5,8,8,8,8,6,6,9,8,8,9,9,9,7,7,7
474,0,30,1,1,1,6,5,10,2,10,10,7,7,9,2,9,8,1,4,3,7,10,6,9,9
475,0,27,1,2,1,6,2,1,1,6,10,6,5,2,0,5,4,4,9,8,3,5,6,9,5
476,0,25,1,3,5,5,2,4,1,7,9,5,5,4,1,7,3,3,3,3,3,7,6,3,5
477,0,27,5,7,1,4,2,9,6,7,8,6,8,8,4,7,7,4,7,8,7,7,6,4,7
478,0,26,4,4,1,4,1,9,7,9,7,7,9,9,3,3,8,4,7,9,8,9,4,6,4
479,0,27,3,3,1,4,3,10,7,10,9,8,7,9,1,7,5,4,7,7,7,7,7,7,6
480,0,26,4,6,1,4,1,7,1,8,9,9,9,3,1,6,10,3,3,4,4,4,5,7,4
496,0,23,1,1,1,5,2,8,1,8,7,7,7,8,1,1,7,3,3,3,5,5,5,5,5
497,0,24,5,5,1,7,1,7,5,1,8,7,6,7,3,1,7,8,6,9,9,8,8,7,6
498,0,25,9,9,1,4,1,3,1,5,7,3,3,6,6,9,8,9,6,8,8,8,3,1,5
499,0,26,1,9,5,4,1,1,1,1,9,9,9,2,1,8,9,6,8,10,10,10,5,1,4
500,0,25,7,9,1,5,3,4,2,6,7,7,7,2,2,7,8,5,7,8,8,8,6,5,6
501,0,26,7,4,5,4,3,5,4,8,8,9,9,6,1,3,9,7,9,9,9,10,7,6,7
509,0,28,2,2,2,4,2,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6
510,0,26,3,3,2,7,2,8,1,4,10,8,7,10,5,7,9,1,3,9,7,5,1,7,5
511,0,23,2,2,2,7,3,6,5,5,7,8,10,10,3,9,8,5,8,9,9,10,7,8,6
512,0,26.12639405,1,1,1,3,2,1,1,1,8,9,10,8,0,9,9,6,10,9,7,10,5,5,5.179104478
513,0,23,1,1,2,6,4,1,1,9,9,9,9,1,0,8,9,8,9,10,6,8,6,6,2
514,0,23,8,9,2,4,3,5,3,7,7,8,10,2,2,1,8,6,10,8,9,10,6,7,7
515,0,23,8,5,1,6,3,10,10,8,9,9,8,10,3,8,9,8,9,10,7,10,5,9,6
516,0,27,9,3,2,6,3,3,3,6,10,9,9,5,5,8,9,6,9,4,9,9,9,3,2
517,0,30,1,1,5,5,3,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,3
518,0,23,2,1,5,7,2,4,2,5,8,6,7,5,5,9,9,8,8,8,6,8,9,4,2
519,0,26,8,9,2,4,2,9,5,9,5,8,7,7,2,3,9,4,7,8,7,8,2,2,6
520,0,28,2,1,1,7,1,4,6,8,8,10,8,5,2,9,10,8,9,8,5,5,8,2,5
521,0,26,3,1,1,3,1,7,7,8,8,8,8,10,7,5,8,6,7,8,8,8,6,6,6
522,0,22,3,6,1,6,2,6,6,6,7,8,9,3,3,7,9,8,10,10,7,7,5,3,5
523,0,27,3,2,2,4,3,8,1,5,9,4,3,6,7,8,13,5,2,7,8,9,3,1,9
524,0,25,9,6,2,7,4,4,1,7,9,8,8,6,3,8,7,7,8,8,5,5,7,5,6
525,0,24,2,8,2,4,1,6,2,8,6,5,5,3,2,1,8,8,9,10,7,8,8,1,6
526,0,26,5,2,1,5,3,2,1,3,10,10,7,6,5,10,8,4,10,8,6,8,4,10,6
527,0,24,5,5,1,4,3,5,5,1,8,7,7,6,2,7,6,6,8,7,8,8,7,6,1
528,0,29,8,7,2,6,1,5,8,4,2,2,2,8,6,2,2,2,3,7,3,3,2,2,4
529,0,22,4,1,2,4,1,7,4,6,10,8,8,8,6,5,5,5,8,8,8,8,4,4,5
530,0,22,1,1,2,7,3,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6,3,8
